// Banco de Dados de Quests
//
// Estrutura do Banco de Dados :
// Quest ID,Time Limit,Target1,Val1,Target2,Val2,Target3,Val3,Quest Title
// Traduzido de acordo com o questid2display do bRO [Asus]
//
1000,0,0,0,0,0,0,0,"Transcendental"
1001,0,0,0,0,0,0,0,"Mudança de Classe: Noviço"
1002,0,0,0,0,0,0,0,"Mudança de Classe: Noviço"
1003,0,0,0,0,0,0,0,"Mudança de Classe: Noviço"
1004,0,0,0,0,0,0,0,"Mudança de Classe: Arqueiro"
1005,0,0,0,0,0,0,0,"Mudança de Classe: Mago"
1006,0,0,0,0,0,0,0,"Mudança de Classe: Mago"
1007,0,0,0,0,0,0,0,"Mudança de Classe: Mago"
1008,0,0,0,0,0,0,0,"Mudança de Classe: Mago"
1009,0,0,0,0,0,0,0,"Mudança de Classe: Mercador"
1010,0,0,0,0,0,0,0,"Mudança de Classe: Mercador"
1011,0,0,0,0,0,0,0,"Mudança de Classe: Mercador"
1012,0,0,0,0,0,0,0,"Mudança de Classe: Mercador"
1013,0,0,0,0,0,0,0,"Mudança de Classe: Gatuno"
1014,0,0,0,0,0,0,0,"Mudança de Classe: Espadachim"
1015,0,0,0,0,0,0,0,"Your first quest"
1016,0,0,0,0,0,0,0,"Gaining base levels"
2000,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2001,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2002,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2003,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2004,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2005,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2006,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2007,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2008,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2009,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2010,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2011,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2012,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2013,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2014,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2015,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2016,0,0,0,0,0,0,0,"Mudança de Classe: Ferreiro"
2017,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2018,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2019,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2020,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2021,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2022,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2023,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2024,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2025,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2026,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2027,0,0,0,0,0,0,0,"Mudança de Classe: Arruaceiro"
2028,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2029,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2030,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2031,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2032,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2033,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2034,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2035,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2036,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2037,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2038,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2039,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2040,0,0,0,0,0,0,0,"Mudança de Classe: Alquimista"
2041,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2042,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2043,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2044,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2045,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2046,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2047,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2048,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2049,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2050,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2051,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2052,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2053,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2054,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2055,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2056,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2057,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2058,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2059,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2060,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2061,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
2062,0,0,0,0,0,0,0,"Mudança de Classe: Sábio"
